SP;PV;CV;Auto
60;13.170046;0;0
60;13.170047;0;0
60;13.170047;0;0
60;13.170048;0;0
60;13.170048;0;0
60;13.170048;0;0
60;13.170048;0;0
60;13.170049;0;0
60;13.170049;0;0
60;13.17005;0;0
60;13.17005;0;0
60;13.27005;0;0
60;13.27005;0;0
60;13.270051;0;0
60;13.270051;0;0
60;13.270051;0;0
60;13.270051;0;0
60;13.270052;0;0
60;13.270052;0;0
60;13.270053;0;0
60;13.270053;0;0
60;13.270054;0;0
60;13.270054;0;0
60;13.270055;0;0
60;13.270055;0;0
60;13.270055;0;0
60;13.270055;0;0
60;13.270056;0;0
60;13.270056;0;0
60;13.270057;0;0
60;13.270057;0;0
60;13.270057;0;0
60;13.580058;0;0
60;13.580058;0;0
60;13.580059;0;0
60;13.580059;0;0
60;13.58006;0;0
60;13.58006;0;0
60;13.58006;0;0
60;13.580061;0;0
60;13.580061;0;0
60;13.580062;0;0
60;13.580062;0;0
60;13.580063;0;0
60;13.580063;0;0
60;13.580063;0;0
60;13.580063;0;0
60;13.580063;0;0
60;13.580063;0;0
60;13.580063;0;0
60;13.580063;0;0
60;13.710063;0;0
60;13.710063;0;0
60;13.710063;0;0
60;13.710063;0;0
60;13.710063;0;0
60;13.710063;0;0
60;13.710063;0;0
60;13.710063;0;0
60;13.710063;0;0
60;13.710063;0;0
60;13.640062;0;0
60;13.640062;0;0
60;13.640062;0;0
60;13.640062;0;0
60;13.640062;0;0
60;13.640062;0;0
60;13.640062;0;0
60;13.640062;0;0
60;13.640062;0;0
60;13.640062;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;12.970063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.340063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.820063;0;0
60;13.820063;0;0
60;13.820063;0;0
60;13.820063;0;0
60;13.820063;0;0
60;13.820063;0;0
60;13.820063;0;0
60;13.820063;0;0
60;13.820063;0;0
60;13.820063;0;0
60;12.990063;0;0
60;12.990063;0;0
60;12.990063;0;0
60;12.990063;0;0
60;12.990063;0;0
60;12.990063;0;0
60;12.990063;0;0
60;12.990063;0;0
60;12.990063;0;0
60;12.990063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.120063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.040063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.860063;0;0
60;13.880063;0;0
60;13.880063;0;0
60;13.880063;0;0
60;13.880063;0;0
60;13.880063;0;0
60;13.880063;0;0
60;13.880063;0;0
60;13.880063;0;0
60;13.880063;0;0
60;13.880063;0;0
60;13.690063;0;0
60;13.690063;0;0
60;13.690063;0;0
60;13.690063;0;0
60;13.690063;0;0
60;13.690063;0;0
60;13.690063;0;0
60;13.690063;0;0
60;13.690063;0;0
60;13.690063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.160063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.210063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
60;13.420063;0;0
